baseline,arm,variable,level,lead,spread,spread_rms,crps,n_inits
aifs,ic,temperature,850,6,0.34805679,0.44434392,0.36755887,112
aifs,weight+ic,temperature,850,6,0.36635974,0.45651162,0.36344642,112
aifs,weight,temperature,850,24,0.29088124,0.34795987,0.35017337,112
aifs,ic,temperature,850,24,0.28475703,0.36954719,0.44417622,112
aifs,weight+ic,temperature,850,24,0.41799968,0.50821629,0.41871265,112
aifs,weight,temperature,850,72,0.72835639,0.88778358,0.52502198,112
aifs,ic,temperature,850,72,0.45829477,0.66126674,0.61203114,112
aifs,weight+ic,temperature,850,72,0.8738829,1.0845163,0.55670706,112
aifs,weight,temperature,850,120,1.2051465,1.4688238,0.75479191,112
aifs,ic,temperature,850,120,0.76629862,1.1146875,0.84843279,112
aifs,weight+ic,temperature,850,120,1.3881285,1.7144293,0.78496826,112
aifs,weight,temperature,850,240,2.4921535,2.9564394,1.3444511,112
aifs,ic,temperature,850,240,1.7437833,2.3360243,1.4320735,112
aifs,weight+ic,temperature,850,240,2.6178031,3.1016119,1.3608673,112
aifs,weight,u_component_of_wind,500,6,0.20895737,0.21939647,0.39572147,112
aifs,ic,u_component_of_wind,500,6,0.76603784,0.85520805,0.71661902,112
aifs,weight+ic,u_component_of_wind,500,6,0.80021659,0.8857848,0.71040857,112
aifs,weight,u_component_of_wind,500,24,0.61723233,0.66543999,0.90428171,112
aifs,ic,u_component_of_wind,500,24,0.84209253,0.99188969,0.9933956,112
aifs,weight+ic,u_component_of_wind,500,24,1.0706662,1.2032462,0.94966501,112
aifs,weight,u_component_of_wind,500,72,1.8621293,2.1025497,1.459286,112
aifs,ic,u_component_of_wind,500,72,1.4857498,1.9591983,1.623145,112
aifs,weight+ic,u_component_of_wind,500,72,2.409733,2.7792712,1.5037128,112
aifs,weight,u_component_of_wind,500,120,3.2771869,3.7084095,2.087666,112
aifs,ic,u_component_of_wind,500,120,2.2657661,2.992095,2.3063863,112
aifs,weight+ic,u_component_of_wind,500,120,3.8070292,4.3422798,2.1569621,112
aifs,weight,u_component_of_wind,500,240,6.3363967,7.0362926,3.5621409,112
aifs,ic,u_component_of_wind,500,240,4.6332095,5.6491603,3.7449449,112
aifs,weight+ic,u_component_of_wind,500,240,6.6153751,7.3359072,3.6034715,112
aifs,weight,u_component_of_wind,850,6,0.15194718,0.16392191,0.35550892,112
